subnum, condition, task, order, trial,interference,date,max,exponent,threshold,correct,rt1,rt2,r,addends,sum,digits,int_score,trial_time
11,baseline,baseline,1,36,0,20130819T101803,4.99E+01,1.20E+00,26,1,10.76,11.81,93,1,93,49  12  32,-1,1.49E+01
11,baseline,baseline,1,37,0,20130819T101803,5.22E+01,1.20E+00,27,0,20.35,22.65,133,1,135,41  53  41,-1,2.58E+01
12,baseline,baseline,1,1,0,20140129T172712,3,1.20E+00,1,1,3.24,3.84,5,1,5,2  1  2,-1,7.54E+00
12,baseline,baseline,1,2,0,20140129T172712,3,1.20E+00,1,1,1.69,2.28,7,1,7,3  2  2,-1,4.72E+00
12,baseline,baseline,1,3,0,20140129T172712,3,1.20E+00,1,1,2.13,2.77,10,1,10,3  3  4,-1,5.60E+00
12,baseline,baseline,1,4,0,20140129T172712,2.30E+00,1.20E+00,2,1,1.06,1.4,3,1,3,1  1  1,-1,3.90E+00
12,baseline,baseline,1,5,0,20140129T172712,3.74E+00,1.20E+00,3,1,1.59,2.09,8,1,8,2  1  5,-1,4.79E+00
12,baseline,baseline,1,6,0,20140129T172712,5.28E+00,1.20E+00,4,1,2.2,2.78,14,1,14,5  4  5,-1,5.67E+00
12,baseline,baseline,1,7,0,20140129T172712,6.90E+00,1.20E+00,5,1,1.49,2.18,17,1,17,8  4  5,-1,5.02E+00
12,baseline,baseline,1,8,0,20140129T172712,8.59E+00,1.20E+00,6,1,4.42,4.97,25,1,25,7  9  9,-1,7.88E+00
12,baseline,baseline,1,9,0,20140129T172712,1.03E+01,1.20E+00,7,1,1.3,1.88,20,1,20,9   1  10,-1,4.60E+00
12,baseline,baseline,1,10,0,20140129T172712,1.21E+01,1.20E+00,8,1,6.81,7.44,30,1,30,9   9  12,-1,1.03E+01
12,baseline,baseline,1,11,0,20140129T172712,1.40E+01,1.20E+00,9,1,6.86,7.35,33,1,33,13   6  14,-1,1.06E+01
12,baseline,baseline,1,12,0,20140129T172712,1.58E+01,1.20E+00,10,1,3.72,4.56,37,1,37,17  10  10,-1,7.45E+00
12,baseline,baseline,1,13,0,20140129T172712,1.78E+01,1.20E+00,11,1,18.91,19.59,39,1,39,11  10  18,-1,2.25E+01
12,baseline,baseline,1,14,0,20140129T172712,1.97E+01,1.20E+00,12,1,3.86,4.47,34,1,34,1  21  12,-1,7.29E+00
12,baseline,baseline,1,15,0,20140129T172712,2.17E+01,1.20E+00,13,0,16.11,16.68,63,1,62,22  19  21,-1,1.99E+01
12,baseline,baseline,1,16,0,20140129T172712,1.97E+01,1.20E+00,12,1,5.55,6.55,35,1,35,13  20   2,-1,9.26E+00
12,baseline,baseline,1,17,0,20140129T172712,2.17E+01,1.20E+00,13,1,17.55,19.17,54,1,54,13  18  23,-1,2.24E+01
12,baseline,baseline,1,18,0,20140129T172712,2.37E+01,1.20E+00,14,1,11.89,12.5,66,1,66,18  23  25,-1,1.57E+01
12,baseline,baseline,1,19,0,20140129T172712,2.58E+01,1.20E+00,15,1,12.72,13.3,43,1,43,2  15  26,-1,1.63E+01
12,baseline,baseline,1,20,0,20140129T172712,2.79E+01,1.20E+00,16,1,8.77,9.44,48,1,48,5  16  27,-1,1.25E+01
12,baseline,baseline,1,21,0,20140129T172712,3.00E+01,1.20E+00,17,1,15.06,15.7,54,1,54,30   8  16,-1,1.85E+01
12,baseline,baseline,1,22,0,20140129T172712,3.21E+01,1.20E+00,18,0,30,30.1,-1,1,77,19  31  27,-1,3.32E+01
12,baseline,baseline,1,23,0,20140129T172712,3.00E+01,1.20E+00,17,1,13.76,14.41,74,1,74,29  29  16,-1,1.74E+01
12,baseline,baseline,1,24,0,20140129T172712,3.21E+01,1.20E+00,18,1,16.29,16.98,79,1,79,33  16  30,-1,2.00E+01
12,baseline,baseline,1,25,0,20140129T172712,3.42E+01,1.20E+00,19,1,3.08,3.66,45,1,45,33   1  11,-1,6.47E+00
12,baseline,baseline,1,26,0,20140129T172712,3.64E+01,1.20E+00,20,0,12.42,13.01,74,1,84,33  16  35,-1,1.61E+01
12,baseline,baseline,1,27,0,20140129T172712,3.42E+01,1.20E+00,19,1,23.06,23.63,88,1,88,29  34  25,-1,2.67E+01
12,baseline,baseline,1,28,0,20140129T172712,3.64E+01,1.20E+00,20,1,13.63,14.31,70,1,70,37  17  16,-1,1.76E+01
12,baseline,baseline,1,29,0,20140129T172712,3.86E+01,1.20E+00,21,1,11.95,12.61,61,1,61,13  38  10,-1,1.56E+01
12,baseline,baseline,1,30,0,20140129T172712,4.08E+01,1.20E+00,22,1,7.93,8.54,61,1,61,42  16   3,-1,1.16E+01
12,baseline,baseline,1,31,0,20140129T172712,4.31E+01,1.20E+00,23,1,5.21,6.15,60,1,60,10   8  42,-1,8.86E+00
12,baseline,baseline,1,32,0,20140129T172712,4.53E+01,1.20E+00,24,0,17.64,18.29,59,1,69,15   8  46,-1,2.15E+01
12,baseline,baseline,1,33,0,20140129T172712,4.31E+01,1.20E+00,23,0,21.79,22.66,104,1,102,42  29  31,-1,2.56E+01
12,baseline,baseline,1,34,0,20140129T172712,4.08E+01,1.20E+00,22,1,8.6,9.33,67,1,67,40  11  16,-1,1.22E+01
13,baseline,baseline,2,1,0,20140207T160651,3,1.20E+00,1,1,0.91,1.27,6,1,6,2  3  1,-1,4.17E+00
13,baseline,baseline,2,2,0,20140207T160651,3,1.20E+00,1,1,1.19,1.57,6,1,6,1  2  3,-1,4.23E+00
13,baseline,baseline,2,3,0,20140207T160651,3,1.20E+00,1,1,1.94,2.38,8,1,8,2  3  3,-1,5.11E+00
13,baseline,baseline,2,4,0,20140207T160651,2.30E+00,1.20E+00,2,1,1.09,1.48,5,1,5,1  1  3,-1,4.27E+00
13,baseline,baseline,2,5,0,20140207T160651,3.74E+00,1.20E+00,3,1,1.29,1.89,10,1,10,2  3  5,-1,4.73E+00
13,baseline,baseline,2,6,0,20140207T160651,5.28E+00,1.20E+00,4,1,1.22,1.58,6,1,6,1  4  1,-1,4.32E+00
13,baseline,baseline,2,7,0,20140207T160651,6.90E+00,1.20E+00,5,1,0.97,1.39,9,1,9,6  2  1,-1,4.13E+00
13,baseline,baseline,2,8,0,20140207T160651,8.59E+00,1.20E+00,6,1,3.41,3.97,16,1,16,6  2  8,-1,6.66E+00
13,baseline,baseline,2,9,0,20140207T160651,1.03E+01,1.20E+00,7,1,3.83,4.37,26,1,26,9  11   6,-1,7.26E+00
13,baseline,baseline,2,10,0,20140207T160651,1.21E+01,1.20E+00,8,1,4,5.36,30,1,30,9  12   9,-1,8.23E+00
13,baseline,baseline,2,11,0,20140207T160651,1.40E+01,1.20E+00,9,0,7.8,8.44,31,1,37,13  12  12,-1,1.14E+01
13,baseline,baseline,2,12,0,20140207T160651,1.21E+01,1.20E+00,8,1,2.59,3.27,23,1,23,3   7  13,-1,6.37E+00
13,baseline,baseline,2,13,0,20140207T160651,1.40E+01,1.20E+00,9,1,8.2,8.84,21,1,21,2   6  13,-1,1.16E+01
13,baseline,baseline,2,14,0,20140207T160651,1.58E+01,1.20E+00,10,0,3.59,4.27,43,1,45,16  16  13,-1,7.49E+00
13,baseline,baseline,2,15,0,20140207T160651,1.40E+01,1.20E+00,9,1,5.54,6.16,23,1,23,1  15   7,-1,9.06E+00
13,baseline,baseline,2,16,0,20140207T160651,1.58E+01,1.20E+00,10,1,8.37,8.94,32,1,32,3  16  13,-1,1.20E+01
13,baseline,baseline,2,17,0,20140207T160651,1.78E+01,1.20E+00,11,0,2.66,3.28,16,1,26,18   4   4,-1,6.25E+00
13,baseline,baseline,2,18,0,20140207T160651,1.58E+01,1.20E+00,10,0,3.21,3.76,32,1,38,16  10  12,-1,6.62E+00
13,baseline,baseline,2,19,0,20140207T160651,1.40E+01,1.20E+00,9,0,6.09,6.74,30,1,29,10   5  14,-1,9.73E+00
13,baseline,baseline,2,20,0,20140207T160651,1.21E+01,1.20E+00,8,1,1.51,2.08,19,1,19,5   1  13,-1,5.04E+00
13,baseline,baseline,2,21,0,20140207T160651,1.40E+01,1.20E+00,9,1,3.64,4.17,25,1,25,13  10   2,-1,6.86E+00
13,baseline,baseline,2,22,0,20140207T160651,1.58E+01,1.20E+00,10,1,2.26,2.98,27,1,27,2  16   9,-1,5.80E+00
13,baseline,baseline,2,23,0,20140207T160651,1.78E+01,1.20E+00,11,0,10.03,10.72,45,1,53,18  17  18,-1,1.39E+01
13,baseline,baseline,2,24,0,20140207T160651,1.58E+01,1.20E+00,10,0,2.73,3.48,28,1,32,14  17   1,-1,6.52E+00
13,baseline,baseline,2,25,0,20140207T160651,1.40E+01,1.20E+00,9,1,4.05,4.97,29,1,29,9   6  14,-1,7.96E+00
13,baseline,baseline,2,26,0,20140207T160651,1.58E+01,1.20E+00,10,1,11.45,12.11,35,1,35,13   6  16,-1,1.52E+01
13,baseline,baseline,2,27,0,20140207T160651,1.78E+01,1.20E+00,11,0,3.9,4.57,35,1,31,17   4  10,-1,7.73E+00
13,baseline,baseline,2,28,0,20140207T160651,1.58E+01,1.20E+00,10,0,2.24,2.94,26,1,36,14  17   5,-1,6.46E+00
13,baseline,baseline,2,29,0,20140207T160651,1.40E+01,1.20E+00,9,1,5.33,6.26,37,1,37,13  11  13,-1,9.50E+00
13,baseline,baseline,2,30,0,20140207T160651,1.58E+01,1.20E+00,10,1,3.48,4.07,32,1,32,16   2  14,-1,7.15E+00
13,baseline,baseline,2,31,0,20140207T160651,1.78E+01,1.20E+00,11,1,11.08,11.92,38,1,38,15   4  19,-1,1.51E+01
13,baseline,baseline,2,32,0,20140207T160651,1.97E+01,1.20E+00,12,1,17.65,18.28,50,1,50,21  10  19,-1,2.14E+01
13,baseline,baseline,2,33,0,20140207T160651,2.17E+01,1.20E+00,13,0,11.26,11.9,32,1,42,19  21   2,-1,1.48E+01
13,baseline,baseline,2,34,0,20140207T160651,1.97E+01,1.20E+00,12,0,8.35,9.13,42,1,52,19  13  20,-1,1.22E+01
13,baseline,baseline,2,35,0,20140207T160651,1.78E+01,1.20E+00,11,1,6.74,7.44,39,1,39,18  18   3,-1,1.04E+01
13,baseline,baseline,2,36,0,20140207T160651,1.97E+01,1.20E+00,12,1,9.05,10.03,37,1,37,9   7  21,-1,1.31E+01
13,baseline,baseline,2,37,0,20140207T160651,2.17E+01,1.20E+00,13,1,5.73,6.45,28,1,28,21   6   1,-1,9.34E+00
13,baseline,baseline,2,38,0,20140207T160651,2.37E+01,1.20E+00,14,1,1.96,2.58,30,1,30,24   4   2,-1,5.48E+00
13,baseline,baseline,2,39,0,20140207T160651,2.58E+01,1.20E+00,15,0,2.9,3.57,31,1,53,26  23   4,-1,6.81E+00
13,baseline,baseline,2,40,0,20140207T160651,2.37E+01,1.20E+00,14,0,14.82,15.49,52,1,56,19  25  12,-1,1.85E+01
13,baseline,baseline,2,41,0,20140207T160651,2.17E+01,1.20E+00,13,0,3.64,4.47,37,1,47,21  20   6,-1,7.53E+00
13,baseline,baseline,2,42,0,20140207T160651,1.97E+01,1.20E+00,12,0,6.49,7.35,37,1,47,8  20  19,-1,1.03E+01
13,baseline,baseline,2,43,0,20140207T160651,1.78E+01,1.20E+00,11,1,15.11,16.11,38,1,38,15  18   5,-1,1.93E+01
13,baseline,baseline,2,44,0,20140207T160651,1.97E+01,1.20E+00,12,1,11.87,12.51,45,1,45,21   7  17,-1,1.57E+01
14,baseline,baseline,1,1,0,2/25/14 15:04,3,1.20E+00,1,1,3.17,3.93,9,1,9,2  4  3,-1,8.63E+00
14,baseline,baseline,1,2,0,2/25/14 15:04,3,1.20E+00,1,1,3.68,4.4,7,1,7,2  1  4,-1,7.32E+00
14,baseline,baseline,1,3,0,2/25/14 15:04,3,1.20E+00,1,1,2.13,2.91,6,1,6,2  2  2,-1,5.47E+00
14,baseline,baseline,1,4,0,2/25/14 15:04,2.30E+00,1.20E+00,2,1,2.08,2.91,4,1,4,1  2  1,-1,5.67E+00
14,baseline,baseline,1,5,0,2/25/14 15:04,3.74E+00,1.20E+00,3,1,3.13,3.9,6,1,6,3  2  1,-1,6.75E+00
14,baseline,baseline,1,6,0,2/25/14 15:04,5.28E+00,1.20E+00,4,1,1.97,2.4,7,1,7,5  1  1,-1,5.45E+00
14,baseline,baseline,1,7,0,2/25/14 15:04,6.90E+00,1.20E+00,5,1,2.98,3.91,14,1,14,4  3  7,-1,7.23E+00
14,baseline,baseline,1,8,0,2/25/14 15:04,8.59E+00,1.20E+00,6,1,1.61,2.39,13,1,13,3  2  8,-1,5.34E+00
14,baseline,baseline,1,9,0,2/25/14 15:04,1.03E+01,1.20E+00,7,1,1.5,2.4,21,1,21,6   4  11,-1,5.77E+00
14,baseline,baseline,1,10,0,2/25/14 15:04,1.21E+01,1.20E+00,8,1,2.65,3.39,23,1,23,3   8  12,-1,6.41E+00
14,baseline,baseline,1,11,0,2/25/14 15:04,1.40E+01,1.20E+00,9,1,1.09,1.9,28,1,28,15   5   8,-1,5.25E+00
14,baseline,baseline,1,12,0,2/25/14 15:04,1.58E+01,1.20E+00,10,1,4.3,4.92,32,1,32,15  16   1,-1,8.37E+00
14,baseline,baseline,1,13,0,2/25/14 15:04,1.78E+01,1.20E+00,11,0,6.77,7.42,39,1,49,13  19  17,-1,1.11E+01
14,baseline,baseline,1,14,0,2/25/14 15:04,1.58E+01,1.20E+00,10,1,3.69,4.87,40,1,40,13  10  17,-1,8.43E+00
14,baseline,baseline,1,15,0,2/25/14 15:04,1.78E+01,1.20E+00,11,1,6.74,7.91,39,1,39,18  15   6,-1,1.14E+01
14,baseline,baseline,1,16,0,2/25/14 15:04,1.97E+01,1.20E+00,12,1,9.3,10.42,37,1,37,15   3  19,-1,1.39E+01
14,baseline,baseline,1,17,0,2/25/14 15:04,2.17E+01,1.20E+00,13,1,4.84,5.91,49,1,49,22  18   9,-1,9.39E+00
14,baseline,baseline,1,18,0,2/25/14 15:04,2.37E+01,1.20E+00,14,1,9.38,10.41,47,1,47,8  15  24,-1,1.37E+01
14,baseline,baseline,1,19,0,2/25/14 15:04,2.58E+01,1.20E+00,15,1,7.04,7.91,44,1,44,10  27   7,-1,1.12E+01
14,baseline,baseline,1,20,0,2/25/14 15:04,2.79E+01,1.20E+00,16,1,10.19,11.4,73,1,73,24  29  20,-1,1.48E+01
14,baseline,baseline,1,21,0,2/25/14 15:04,3.00E+01,1.20E+00,17,1,3.99,4.91,85,1,85,30  25  30,-1,8.28E+00
14,baseline,baseline,1,22,0,2/25/14 15:04,3.21E+01,1.20E+00,18,1,7.95,8.92,83,1,83,30  21  32,-1,1.24E+01
14,baseline,baseline,1,23,0,2/25/14 15:04,3.42E+01,1.20E+00,19,0,13.57,14.42,73,1,89,28  33  28,-1,1.77E+01
14,baseline,baseline,1,24,0,2/25/14 15:04,3.21E+01,1.20E+00,18,1,8.41,12.91,47,1,47,2  31  14,-1,1.62E+01
14,baseline,baseline,1,25,0,2/25/14 15:04,3.42E+01,1.20E+00,19,1,19.12,19.91,71,1,71,27  11  33,-1,2.34E+01
14,baseline,baseline,1,26,0,2/25/14 15:04,3.64E+01,1.20E+00,20,0,15,15.92,61,1,63,2  35  26,-1,1.93E+01
14,baseline,baseline,1,27,0,2/25/14 15:04,3.42E+01,1.20E+00,19,1,5.46,6.42,86,1,86,23  33  30,-1,9.90E+00
14,baseline,baseline,1,28,0,2/25/14 15:04,3.64E+01,1.20E+00,20,1,10.69,11.9,72,1,72,36  28   8,-1,1.52E+01
14,baseline,baseline,1,29,0,2/25/14 15:04,3.86E+01,1.20E+00,21,1,5.46,6.41,91,1,91,38  21  32,-1,1.00E+01
14,baseline,baseline,1,30,0,2/25/14 15:04,4.08E+01,1.20E+00,22,1,4.13,4.92,45,1,45,2  42   1,-1,8.05E+00
14,baseline,baseline,1,31,0,2/25/14 15:04,4.31E+01,1.20E+00,23,1,8.34,9.41,88,1,88,42  21  25,-1,1.30E+01
14,baseline,baseline,1,32,0,2/25/14 15:04,4.53E+01,1.20E+00,24,1,15.23,15.92,74,1,74,15  45  14,-1,1.97E+01
14,baseline,baseline,1,33,0,2/25/14 15:04,4.76E+01,1.20E+00,25,0,18.91,19.91,82,1,103,33  47  23,-1,2.36E+01
14,baseline,baseline,1,34,0,2/25/14 15:04,4.53E+01,1.20E+00,24,0,18.8,19.91,123,1,126,45  37  44,-1,2.38E+01
14,baseline,baseline,1,35,0,2/25/14 15:04,4.31E+01,1.20E+00,23,1,6.36,7.41,76,1,76,7  43  26,-1,1.11E+01
14,baseline,baseline,1,36,0,2/25/14 15:04,4.53E+01,1.20E+00,24,0,30,30.43,-1,1,93,28  19  46,-1,3.41E+01
14,baseline,baseline,1,37,0,2/25/14 15:04,4.31E+01,1.20E+00,23,1,8.56,9.4,81,1,81,3  34  44,-1,1.31E+01
14,baseline,baseline,1,38,0,2/25/14 15:04,4.53E+01,1.20E+00,24,1,8.31,8.91,66,1,66,44  18   4,-1,1.26E+01
